Use case	GOOGLEFINANCE formula	GOOGLEFINANCE result	HOODLEFINANCE formula	HOODLEFINANCE result	Notes
TLV stock name: POLI	'=GOOGLEFINANCE("TLV:POLI","name")	=GOOGLEFINANCE("TLV:POLI","name")	'=HOODLEFINANCE("TLV:POLI","name")	=HOODLEFINANCE("TLV:POLI","name")	Baseline Tel Aviv stock lookup with explicit exchange prefix.
TLV stock price: POLI	'=GOOGLEFINANCE("TLV:POLI","price")	=GOOGLEFINANCE("TLV:POLI","price")	'=HOODLEFINANCE("TLV:POLI","price")	=HOODLEFINANCE("TLV:POLI","price")	Baseline Tel Aviv stock price lookup.
TLV stock name: NICE	'=GOOGLEFINANCE("TLV:NICE","name")	=GOOGLEFINANCE("TLV:NICE","name")	'=HOODLEFINANCE("TLV:NICE","name")	=HOODLEFINANCE("TLV:NICE","name")	Large Israeli listing used for ordinary equity coverage checks.
TLV stock name: TEVA	'=GOOGLEFINANCE("TLV:TEVA","name")	=GOOGLEFINANCE("TLV:TEVA","name")	'=HOODLEFINANCE("TLV:TEVA","name")	=HOODLEFINANCE("TLV:TEVA","name")	Useful for another ordinary TLV equity roundtrip.
TLV stock name: TSEM	'=GOOGLEFINANCE("TLV:TSEM","name")	=GOOGLEFINANCE("TLV:TSEM","name")	'=HOODLEFINANCE("TLV:TSEM","name")	=HOODLEFINANCE("TLV:TSEM","name")	Additional stock sample for ticker-to-ISIN roundtrip testing.
Yahoo-style TLV ticker: POLI.TA	'=GOOGLEFINANCE("POLI.TA","name")	=GOOGLEFINANCE("POLI.TA","name")	'=HOODLEFINANCE("POLI.TA","name")	=HOODLEFINANCE("POLI.TA","name")	Checks Yahoo-style `.TA` ticker handling.
Israeli stock ISIN input: POLI	'=GOOGLEFINANCE("IL0006625771","name")	=GOOGLEFINANCE("IL0006625771","name")	'=HOODLEFINANCE("IL0006625771","name")	=HOODLEFINANCE("IL0006625771","name")	Direct ISIN-input roundtrip for Bank Hapoalim.
Israeli stock ISIN input: NICE	'=GOOGLEFINANCE("IL0002730112","name")	=GOOGLEFINANCE("IL0002730112","name")	'=HOODLEFINANCE("IL0002730112","name")	=HOODLEFINANCE("IL0002730112","name")	Direct ISIN-input roundtrip for NICE.
Israeli stock ISIN input: TEVA	'=GOOGLEFINANCE("IL0006290147","name")	=GOOGLEFINANCE("IL0006290147","name")	'=HOODLEFINANCE("IL0006290147","name")	=HOODLEFINANCE("IL0006290147","name")	Direct ISIN-input roundtrip for TEVA.
Israeli stock ISIN input: TSEM	'=GOOGLEFINANCE("IL0010823792","name")	=GOOGLEFINANCE("IL0010823792","name")	'=HOODLEFINANCE("IL0010823792","name")	=HOODLEFINANCE("IL0010823792","name")	Direct ISIN-input roundtrip for Tower Semiconductor.
Israeli ETF name: KSM.F59 alias	'=GOOGLEFINANCE("TLV:KSMF59","name")	=GOOGLEFINANCE("TLV:KSMF59","name")	'=HOODLEFINANCE("TLV:KSMF59","name")	=HOODLEFINANCE("TLV:KSMF59","name")	Checks undotted TLV alias normalization for an Israeli ETF.
Israeli ETF price: KSM.F59 alias	'=GOOGLEFINANCE("TLV:KSMF59","price")	=GOOGLEFINANCE("TLV:KSMF59","price")	'=HOODLEFINANCE("TLV:KSMF59","price")	=HOODLEFINANCE("TLV:KSMF59","price")	Checks quote support after TLV ETF alias normalization.
Israeli ETF ISIN input: KSM.F59	'=GOOGLEFINANCE("IL0011465700","name")	=GOOGLEFINANCE("IL0011465700","name")	'=HOODLEFINANCE("IL0011465700","name")	=HOODLEFINANCE("IL0011465700","name")	Direct ISIN-input test for the validated KSM ETF sample.
Israeli ETF name: KSM.F72	'=GOOGLEFINANCE("TLV:KSM.F72","name")	=GOOGLEFINANCE("TLV:KSM.F72","name")	'=HOODLEFINANCE("TLV:KSM.F72","name")	=HOODLEFINANCE("TLV:KSM.F72","name")	Additional KSM ETF sample from public TASE/TradingView symbol forms.
Israeli ETF name: KSM.F74	'=GOOGLEFINANCE("TLV:KSM.F74","name")	=GOOGLEFINANCE("TLV:KSM.F74","name")	'=HOODLEFINANCE("TLV:KSM.F74","name")	=HOODLEFINANCE("TLV:KSM.F74","name")	Additional KSM ETF sample for broader Tel Aviv fund coverage checks.
Israeli ETF name: KSM.F108	'=GOOGLEFINANCE("TLV:KSM.F108","name")	=GOOGLEFINANCE("TLV:KSM.F108","name")	'=HOODLEFINANCE("TLV:KSM.F108","name")	=HOODLEFINANCE("TLV:KSM.F108","name")	Checks another KSM family ETF with a different fund number.
Israeli ETF name: MTF.F17	'=GOOGLEFINANCE("TLV:MTF.F17","name")	=GOOGLEFINANCE("TLV:MTF.F17","name")	'=HOODLEFINANCE("TLV:MTF.F17","name")	=HOODLEFINANCE("TLV:MTF.F17","name")	Cross-issuer ETF/fund sample outside the KSM family.
Israeli ETF name: HRL.F11	'=GOOGLEFINANCE("TLV:HRL.F11","name")	=GOOGLEFINANCE("TLV:HRL.F11","name")	'=HOODLEFINANCE("TLV:HRL.F11","name")	=HOODLEFINANCE("TLV:HRL.F11","name")	Another issuer family for Tel Aviv ETF/fund probing.
